quality_score;species;country_of_origin;farm_name;altitude;region;harvest_year;aroma;flavor;aftertaste;acidity;body;balance;cupper_points;total_cup_points;moisture;color
90.58;Arabica;Ethiopia;METAD PLC;1950-2200;GUJI-HAMBELA/GOYO;2014;8.67;8.83;8.67;8.75;8.5;8.42;8.75;Sample  90.58;12;Green
89.92;Arabica;Ethiopia;METAD PLC;1950-2200;GUJI-HAMBELA/ALAKA;2014;8.75;8.67;8.5;8.58;8.42;8.42;8.58;Sample  89.92;12;Green
89.75;Arabica;Guatemala;"San Marcos Barrancas ""San Cristobal Cuch";1600 - 1800 m;;;8.42;8.5;8.42;8.42;8.33;8.42;9.25;Sample  89.75;0;
89.0;Arabica;Ethiopia;Yidnekachew Dabessa Coffee Plantation;1800-2200;Oromia;2014;8.17;8.58;8.42;8.42;8.5;8.25;8.67;Sample  89.00;11;Green
88.83;Arabica;Ethiopia;METAD PLC;1950-2200;GUJI-HAMBELA/BISHAN FUGU;2014;8.25;8.5;8.25;8.5;8.42;8.33;8.58;Sample  88.83;12;Green
88.83;Arabica;Brazil;;;;2013;8.58;8.42;8.42;8.5;8.25;8.33;8.33;Sample  88.83;11;Bluish-Green
88.75;Arabica;Peru;;;;2012;8.42;8.5;8.33;8.5;8.25;8.25;8.5;Sample  88.75;11;Bluish-Green
88.67;Arabica;Ethiopia;Aolme;1570-1700;Oromia;March 2010;8.25;8.33;8.5;8.42;8.33;8.5;9.0;Sample  88.67;3;
88.42;Arabica;Ethiopia;Aolme;1570-1700;Oromiya;March 2010;8.67;8.67;8.58;8.42;8.33;8.42;8.67;Sample  88.42;3;
88.25;Arabica;Ethiopia;Tulla Coffee Farm;1795-1850;SNNP/Kaffa Zone,GimboWereda;2014;8.08;8.58;8.5;8.5;7.67;8.42;8.5;Sample  88.25;10;Green
88.08;Arabica;Ethiopia;Fahem Coffee Plantation;1855-1955;Oromia;2014;8.17;8.67;8.25;8.5;7.75;8.17;8.58;Sample  88.08;10;
87.92;Arabica;United States;El filo;Meters above sea level: 1.872;Antioquía-Giraldo;2014;8.25;8.42;8.17;8.33;8.08;8.17;8.5;Sample  87.92;0;
87.92;Arabica;United States;Los Cedros;Meters above sea level: 1.943;Antioquía-Betulia;2014;8.08;8.67;8.33;8.42;8.0;8.08;8.33;Sample  87.92;0;
87.92;Arabica;United States (Hawaii);Arianna Farms;2000 ft;Kona;Sept 2009 - April 2010;8.33;8.42;8.08;8.25;8.25;8.0;8.58;Sample  87.92;0;
87.83;Arabica;Ethiopia;Aolme;1570-1700;Oromiya;March 2010;8.25;8.33;8.5;8.25;8.58;8.75;8.5;Sample  87.83;5;
